account_id,cohort,age,nvr_porportions,rotcombi_porportions,training_time,training_plan_id,time,Math_Factor
165631,c1,_ages 6-7,0,0.03,20,199,0,-0.622775375103714
165637,c1,_ages 6-7,0,0.15,20,204,0,-0.951485195875258
165638,c1,_ages 6-7,0.135,0.015,20,203,0,-1.13923989215291
165661,c1,_ages 6-7,0,0.03,33,199,0,0.751405645686845
165662,c1,_ages 6-7,0,0.03,33,199,0,-0.377897536268902
165663,c1,_ages 6-7,0,0.03,33,199,0,-0.329006574412143
165667,c1,_ages 6-7,0,0.03,33,199,0,1.44270326700957
165673,c1,_ages 6-7,0,0.15,33,204,0,-0.4805406593737
165674,c1,_ages 6-7,0,0.15,33,204,0,-0.752256760314263
165675,c1,_ages 6-7,0,0.15,33,204,0,-0.523028745403001
165676,c1,_ages 6-7,0,0.15,33,204,0,-0.340938335479698
165677,c1,_ages 6-7,0,0.15,33,204,0,-0.229297712576886
165679,c1,_ages 6-7,0,0.15,33,204,0,-0.289339318498075
165680,c1,_ages 6-7,0.135,0.015,33,203,0,-0.482665339209305
165681,c1,_ages 6-7,0.135,0.015,33,203,0,0.0391742137203112
165684,c1,_ages 6-7,0.135,0.015,33,203,0,2.34595965285125
165685,c1,_ages 6-7,0.135,0.015,33,203,0,-0.613623916532285
165727,c1,_ages 6-7,0,0.03,33,199,0,0.282287975356842
165762,c1,_ages 6-7,0,0.03,33,199,0,-1.37651805932727
165763,c1,_ages 6-7,0,0.03,33,199,0,-2.23385773505353
165764,c1,_ages 6-7,0,0.03,33,199,0,0.37086808164868
165765,c1,_ages 6-7,0,0.03,33,199,0,-1.22890242243898
165766,c1,_ages 6-7,0,0.03,33,199,0,-0.475749518957621
165767,c1,_ages 6-7,0,0.15,33,204,0,-0.859843569501916
165768,c1,_ages 6-7,0,0.15,33,204,0,-0.301232574482378
165769,c1,_ages 6-7,0,0.15,33,204,0,-0.459805856619794
165770,c1,_ages 6-7,0.135,0.015,33,203,0,-0.743640543883137
165771,c1,_ages 6-7,0.135,0.015,33,203,0,-1.36157908170858
165772,c1,_ages 6-7,0.135,0.015,33,203,0,-1.74432313115815
166029,c1,_ages 6-7,0,0.03,20,199,0,-0.110520063427808
166030,c1,_ages 6-7,0,0.03,20,199,0,0.186404593772689
166031,c1,_ages 6-7,0,0.03,20,199,0,-0.762651499368843
166032,c1,_ages 6-7,0,0.03,20,199,0,-0.187896888951717
166034,c1,_ages 6-7,0,0.03,20,199,0,-0.471235269478966
